2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 2891.0 | aguinaldo ribeiro | pp | pb
2024-08-01 | passagem aérea - sigepa | -2202.8199999999997 | aguinaldo ribeiro | pp | pb
2024-08-01 | combustíveis e lubrificantes. | 2865.02 | afonso motta | pdt | rs
2024-08-01 | fornecimento de alimentação do parlamentar | 61.36 | afonso motta | pdt | rs
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 782.91 | afonso motta | pdt | rs
2024-08-01 | passagem aérea - sigepa | 4164.17 | afonso motta | pdt | rs
2024-08-01 | telefonia | 179.39 | afonso motta | pdt | rs
2024-08-01 | combustíveis e lubrificantes. | 2520.13 | acácio favacho | mdb | ap
2024-08-01 | divulgação da atividade parlamentar. | 20000.0 | acácio favacho | mdb | ap
2024-08-01 | locação ou fretamento de veículos automotores | 11503.0 | acácio favacho | mdb | ap
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 12459.39 | acácio favacho | mdb | ap
2024-08-01 | passagem aérea - sigepa | -1898.54 | acácio favacho | mdb | ap
2024-08-01 | combustíveis e lubrificantes. | 2388.09 | airton faleiro | pt | pa
2024-08-01 | divulgação da atividade parlamentar. | 25300.0 | airton faleiro | pt | pa
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 1163.31 | airton faleiro | pt | pa
2024-08-01 | passagem aérea - sigepa | 1493.29 | airton faleiro | pt | pa
2024-08-01 | serviço de táxi, pedágio e estacionamento | 623.0 | airton faleiro | pt | pa
2024-08-01 | combustíveis e lubrificantes. | 5173.63 | adriana ventura | novo | sp
2024-08-01 | divulgação da atividade parlamentar. | 180.0 | adriana ventura | novo | sp
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 22539.75 | adriana ventura | novo | sp
2024-08-01 | passagem aérea - sigepa | 2076.05 | adriana ventura | novo | sp
2024-08-01 | telefonia | 176.99 | adriana ventura | novo | sp
2024-08-01 | combustíveis e lubrificantes. | 1534.71 | aj albuquerque | pp | ce
2024-08-01 | locação ou fretamento de veículos automotores | 12650.0 | aj albuquerque | pp | ce
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 3000.0 | aj albuquerque | pp | ce
2024-08-01 | passagem aérea - sigepa | 885.03 | aj albuquerque | pp | ce
2024-08-01 | combustíveis e lubrificantes. | 2860.4900000000002 | adolfo viana | psdb | ba
2024-08-01 | locação ou fretamento de veículos automotores | 12425.0 | adolfo viana | psdb | ba
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 13672.92 | adolfo viana | psdb | ba
2024-08-01 | telefonia | 119.99 | adolfo viana | psdb | ba
2024-08-01 | combustíveis e lubrificantes. | 703.02 | abilio brunini | pl | mt
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 56842.09 | abilio brunini | pl | mt
2024-08-01 | combustíveis e lubrificantes. | 5602.46 | adail filho | republicanos | am
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 26118.18 | adail filho | republicanos | am
2024-08-01 | passagem aérea - sigepa | -29.51 | adail filho | republicanos | am
2024-08-01 | serviço de segurança prestado por empresa especializada. | 1050.0 | adail filho | republicanos | am
2024-08-01 | combustíveis e lubrificantes. | 6577.55 | adilson barroso | pl | sp
2024-08-01 | divulgação da atividade parlamentar. | 20000.0 | adilson barroso | pl | sp
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 22792.97 | adilson barroso | pl | sp
2024-08-01 | passagem aérea - sigepa | 1439.0 | adilson barroso | pl | sp
2024-08-02 | combustíveis e lubrificantes. | 2020.0500000000002 | alberto fraga | pl | df
2024-08-02 | passagem aérea - sigepa | 2195.87 | alberto fraga | pl | df
2024-08-02 | combustíveis e lubrificantes. | 4634.82 | aécio neves | psdb | mg
2024-08-02 | fornecimento de alimentação do parlamentar | 148.0 | aécio neves | psdb | mg
2024-08-02 | manutenção de escritório de apoio à atividade parlamentar | 5778.65 | aécio neves | psdb | mg
2024-08-02 | passagem aérea - sigepa | 3077.9700000000003 | aécio neves | psdb | mg
2024-08-02 | combustíveis e lubrificantes. | 2326.96 | alberto mourão | mdb | sp
2024-08-02 | fornecimento de alimentação do parlamentar | 73.9 | alberto mourão | mdb | sp
2024-08-02 | passagem aérea - sigepa | 10648.21 | alberto mourão | mdb | sp
2024-08-02 | combustíveis e lubrificantes. | 1091.6399999999999 | adriano do baldy | pp | go
2024-08-02 | fornecimento de alimentação do parlamentar | 74.95 | adriano do baldy | pp | go
2024-08-02 | hospedagem ,exceto do parlamentar no distrito federal. | 176.25 | adriano do baldy | pp | go
2024-08-02 | passagem aérea - sigepa | 2984.1400000000003 | adriano do baldy | pp | go
2024-08-02 | telefonia | 351.98 | adriano do baldy | pp | go
2024-08-02 | combustíveis e lubrificantes. | 2881.1 | afonso hamm | pp | rs
2024-08-02 | divulgação da atividade parlamentar. | 3708.55 | afonso hamm | pp | rs
